desFinanceiro,desStatus,desDataPagamento
3540,PAGA,06-Nov-20
3546,PAGA,09-Nov-20
3547,PAGA,09-Nov-20
3548,PAGA,09-Nov-20
3549,PAGA,09-Nov-20
3550,PAGA,10-Nov-20
3551,PAGA,10-Nov-20
3552,PAGA,11-Nov-20
3553,PAGA,11-Nov-20
3576,PAGA,16-Nov-20
3577,PAGA,16-Nov-20
3587,PAGA,20-Nov-20
3588,PAGA,20-Nov-20
3589,PAGA,20-Nov-20
3590,PAGA,21-Dec-20
3591,PAGA,23-Nov-20
3592,PAGA,23-Nov-20
3598,PAGA,25-Nov-20
3617,PAGA,27-Nov-20
3634,PAGA,25-Nov-20
3635,PAGA,30-Nov-20
3636,PAGA,01-Dec-20
3637,PAGA,04-Dec-20
3638,PAGA,07-Dec-20
3639,PAGA,09-Dec-20
3660,PAGA,10-Dec-20
3661,PAGA,10-Dec-20
3662,PAGA,10-Dec-20
3663,PAGA,11-Dec-20
3664,PAGA,14-Dec-20
3682,PAGA,18-Dec-20
3683,PAGA,21-Dec-20
3684,PAGA,21-Dec-20
3685,PAGA,21-Dec-20
3686,PAGA,23-Dec-20
3695,PAGA,23-Dec-20
3696,PAGA,28-Dec-20
3697,PAGA,28-Dec-20
3698,PAGA,11-Dec-20
3713,PAGA,30-Dec-20
3763,PAGA,05-Jan-21
3764,PAGA,05-Jan-21
3765,PAGA,08-Jan-21
3766,PAGA,11-Feb-21
3767,PAGA,11-Jan-21
3768,PAGA,11-Jan-21
3769,PAGA,11-Jan-21
3770,PAGA,11-Jan-21
3771,PAGA,12-Jan-21
3772,PAGA,15-Jan-21
3773,PAGA,18-Jan-21
3774,PAGA,20-Jan-21
3775,PAGA,20-Jan-21
3776,PAGA,20-Jan-21
3777,PAGA,22-Jan-21
3778,PAGA,22-Jan-21
3779,PAGA,23-Jan-21
3780,PAGA,25-Jan-21
3781,PAGA,25-Jan-21
3782,PAGA,25-Jan-21
3783,PAGA,29-Jan-21
3784,PAGA,30-Jan-21
3794,PAGA,01-Feb-21
3795,PAGA,01-Feb-21
3796,PAGA,01-Feb-21
3797,PAGA,02-Feb-21
3798,PAGA,05-Feb-21
3799,PAGA,08-Feb-21
3800,PAGA,08-Feb-21
3801,PAGA,10-Feb-21
3802,PAGA,10-Feb-21
3803,PAGA,17-Feb-21
3810,PAGA,17-Feb-21
