prodId,prodNome,prodMarca,prodPrecoCompra,prodPrecoVenda,prodPercentual,prodQtd,prodTipo
210,LENTE VS1.50 TRANSIT AR,51,"550,00","1100,00",100,3,PRODUTO
211,ARMAÇÃO DA VINCI,34,"175,00","350,00",100,1,PRODUTO
212,LENTE VS1.49 TRANST AR,83,"310,00","620,00",100,3,PRODUTO
213,ARMAÇÃO INTELECTUM,18,"185,00","370,00",100,0,PRODUTO
214,LENTE P HOYALUX18WP1.67T,51,"1475,00","2950,00",100,3,PRODUTO
215,LENTE P HOYALUX18WP1.67T/AR,51,"1726,00","3452,00",100,2,PRODUTO
216,LENTE P HOYALUX WIDE BKS 1.67 SENSITY,51,"1685,00","3370,00",100,3,PRODUTO
217,LENTE HOYALUX WIDE BKS 1.53 TRANSIT AR,51,"1240,00","2480,00",100,3,PRODUTO
218,LENTE P HOYALUX18WP1.5/I,51,"425,00","850,00",100,4,PRODUTO
219,LENTE PROG. HOYALUX18P1.5/AR,1,"666,00","1332,00",100,4,
220,LENTE P HOYALUX18WP1.5/T,51,"970,00","1940,00",100,3,PRODUTO
221,LENTE P HOYALUX18WP1.5T/AR,51,"1224,00","2448,00",100,3,PRODUTO
222,LENTE P HOYALUX18WPTX1.53/I,51,"560,00","1120,00",100,3,PRODUTO
223,LENTE P HOYALUX18WPTX1.53/AR,51,"815,00","1630,00",100,4,PRODUTO
224,LENTE P HOYALUX18WP1.53TX/T,51,"1348,00","2696,00",100,4,PRODUTO
225,LENTE P HOYALUX18WP1.53TX T/AR,51,"1603,00","3206,00",100,2,PRODUTO
226,LENTE P HOYALUX18WP1.67 INC,51,"782,00","1564,00",100,5,PRODUTO
227,LENTE P HOYALUX18WP1.67/AR,51,"1038,00","2076,00",100,3,PRODUTO
228,LENTE HOYALUX14S1.5,1,"411,00","822,00",100,3,
229,LENTE HOYALUX WIDE BKS 1.50 INC,51,"650,00","1300,00",100,9,PRODUTO
230,LENTE HOYALUX14S1.5/AR,1,"666,00","1332,00",100,4,
231,LENTE PR DAYNAMIC1.5 AR CX,51,"1119,00","2238,00",100,7,PRODUTO
232,LENTE HOYALUX WIDE BKS PRO 1.50 SENSITY AR CX,51,"2000,00","4000,00",100,12,PRODUTO
233,LENTE PR DAYNAMIC1.5 SENSITY AR CX,51,"1677,00","3354,00",100,4,PRODUTO
234,LENTE HOYALUX WIDE BKS 1.53 TVX INC,51,"1.000,00","2000,00",100,9,PRODUTO
235,LENTE HOYALUX WIDE BKS 1.53 SENSITY,51,"1050,00","2100,00",100,4,PRODUTO
236,LENTE HOYALUX WIDE BKS 1.53 SENSITY AR,51,"1140,00","2280,00",100,5,PRODUTO
237,LENTE P HOYALUX WIDE BKS 1.67 INC,51,"1275,00","2550,00",100,3,PRODUTO
238,LENTE PR1.67 HOYALUX WIDE BKS AR,51,"1365,00","2730,00",100,2,PRODUTO
239,LENTE P HOYALUX18W1.5 /I,51,"309,00","618,00",100,4,PRODUTO
240,LENTE P HOYALUX WIDE VXT 1.67 SENSITY,51,"1.900,00","3800,00",100,13,PRODUTO
241,LENTE P HOYALUX18W1.5 / T,51,"744,00","1488,00",100,3,PRODUTO
242,LENTE P HOYALUX18W1.5 T/AR,51,"999,00","1998,00",100,2,PRODUTO
243,LENTE P HOYALUX18WTX1.53/I,51,"505,00","1010,00",100,4,PRODUTO
244,LENTE P HOYALUX18WTX1.53/AR,51,"761,00","1522,00",100,3,PRODUTO
245,LENTE P HOYALUX18WTX1.53/T,51,"1144,00","2288,00",100,5,PRODUTO
246,LENTE P HOYALUX18WTX1.53 T/AR,51,"1395,50","2791,00",100,5,PRODUTO
247,LENTE PR1.53 ARGOS INC.,51,"305,00","610,00",100,4,PRODUTO
248,LENTE PR1.53 ARGOS AR,51,"560,00","1120,00",100,5,PRODUTO
249,LENTE PR1.53 ARGOS TRANSIT,51,"785,00","1570,00",100,6,PRODUTO
250,LENTE PR1.53 ARGOS TRANSIT AR,51,"1040,00","2080,00",100,3,PRODUTO
251,LENTE PR1.59 ARGOS INC.,51,"258,00","516,00",100,4,PRODUTO
252,LENTE ARGOS 1.59 AR NR BC,51,"650,00","1300,00",100,5,PRODUTO
253,LENTE ARGOS 1.60 INC.,51,"430,00","860,00",100,6,PRODUTO
254,LENTE ARGOS 1.60 AR CX,51,"540,00","1080,00",100,7,PRODUTO
255,LENTE P HOYALUX22GP1.5/ I,51,"223,00","446,00",100,4,PRODUTO
256,LENTE P HOYALUX22GP1.5/ AR,51,"478,00","956,00",100,4,PRODUTO
257,LENTE PR1.50 ARGOS TF TRANSIT AR,51,"900,00","1800,00",100,3,PRODUTO
258,LENTE PR1.53 ARGOS TF INC.,51,"403,00","806,00",100,5,PRODUTO
259,LENTE PR1.53 ARGOS TF AR,51,"660,00","1320,00",100,5,PRODUTO
260,LENTE PR1.53 ARGOS TF TRANSIT AR,51,"1208,00","2416,00",100,4,PRODUTO
261,LENTE PR1.53 ARGOS TF TRANSIT,51,"952,00","1904,00",100,4,PRODUTO
262,LENTE ARGOS 1.60 AR NR BC,51,"700,00","1400,00",100,4,PRODUTO
263,LENTE PR1.50 ARGOS TF AR,51,"762,50","1525,00",100,4,PRODUTO
264,LENTE BIF. BIOVIS TRANST IV,60,"425,00","850,00",100,7,PRODUTO
265,LENTE VS1.67 STYLIS CRIZAL C4,60,"800,00","1600,00",100,4,PRODUTO
