prodId,name,reason
569,LENTE VS1.56 AR,já existe
570,ARMAÇÃO NYLON,já existe
571,ARMAÇÃO METAL,já existe
572,LENTE PR NO LINE SOLAR,já existe
574,LENTE BIF. ULTEX FOTO,já existe
575,LENTE PR NO LINE INC,já existe
576,LENTE VS1.50 FOTO FUSION,já existe
577,LENTE BIF. BIOVIS INC,já existe
579,LENTE VS1.50 FOTOFUSION / AR,já existe
580,LENTE VS1.50 HOYA SYNC III 9 AR NR/BC,já existe
581,LENTE VS1.53 SENSITY/AR,já existe
582,LENTE AMPLUS 1.59 AR,já existe
583,LENTE VS1.50 AR,já existe
584,LENTE VS1.50 HOYA SYNC III 13 NR/BC,já existe
585,"LENTE DE CONTATO COM GRAU -2,00",já existe
586,LENTE VS1.5 HOYA AR NR/BC,já existe
587,LENTE VS1.50 SURF TRANSITIONS,já existe
588,LENTE BIF. ULTEX FOTO,já existe
589,LENTE P HOYALUX WIDE VXT PRO 1.50 AR,já existe
590,LENTE PR ESPACE1.50 ACLIMATES,já existe
591,ARMAÇÃO PROMOÇÃO,já existe
592,ARMAÇÃO PROMOÇÃO NYLON,já existe
593,LENTE VS1.67 INCOLOR,já existe
594,LENTE P HOYALUX WIDE VXT 1.50 PREMIUM,já existe
595,LENTE VS1.59 / AR C-4,já existe
596,LENTE VS1.50 AR BLUE,já existe
597,LENTE VS1.50 AR BLUE,já existe
598,LENTE VS1.50 AR BLUE,já existe
599,LENTE PROG KODAK UP 1.50 INC,já existe
600,ARMAÇÃO METAL,já existe
601,ARMAÇÃO Z FORA DE LINHA,já existe
603,ARMAÇÃO BALGRIF,já existe
604,LENTE PR1.59 AMPLUS INC,já existe
605,ARMAÇÃO Z FORA DE LINHA,já existe
606,ARMAÇÃO PERSONAL,já existe
607,ARMAÇÃO Z FORA DE LINHA,já existe
608,ARMAÇAO METAL,já existe
613,LENTE PR 1.50 AR,já existe
615,LENTE PR NOLINE INC.,já existe
616,LENTE VS1.56 FOTO,já existe
617,ARMAÇAO OK ACETATO,já existe
618,LENTE P 1.50 NOLINE,já existe
620,ARMAÇAO Z FORA DE LINHA,já existe
621,ARMAÇAO OBEN,já existe
622,ARMAÇAO Z FORA DE LINHA,já existe
623,LENTE HOYALUX WIDE VXT PREMIUM 1.59 AR CX,já existe
624,LENTE HOYALUX WIDE BKS PRO 1.50 AR NR+BC,já existe
625,LENTE VS1.59 FOTOFUSION / AR,já existe
626,LENTE PR MAX 1.50 FOTO / AR,já existe
627,ARMÇAO BALGRIF,já existe
628,LENTE VS VISIONMAX HD1.67 SUNPROTECT DURAMAX BLUE,já existe
629,ARMAÇÃO VISEL,já existe
630,ARMAÇÃO Z FORA DE LINHA,já existe
631,ARMAÇÃO NYLON,já existe
632,LENTE DE CONTATO PL COLOR FRESHLOOK,já existe
633,BERINE SP,já existe
634,ATUALIZAR PRODUTO4,já existe
635,LENTE VS SOLAR PLANA DEGRADÊ,já existe
636,LENTE DE CONTATO,já existe
637,LENTE PR NO LINE FOTO,já existe
638,OCULO SOLAR METAL,já existe
640,OCULOS SOLAR VISEL,já existe
641,COLORAÇÃO MARRON DEGRADE,já existe
643,ARMAÇAO Z FORA DE LINHA,já existe
645,ARMAÇÃO ACETATO,já existe
646,LENTE VS1.59 AR,já existe
647,LENTE VS1.67 SENSITY,já existe
648,LENTE VS1.50 FOTO,já existe
649,LENTE PR 1.50 AR,já existe
650,LENTE VS1.50 FOTO/AR,já existe
